cluster,n_docs,rank,keyword,freq,kind,score
3,263,14,수부,31,distinctive,2.386
3,263,15,전달,5,distinctive,2.373
3,263,16,활동,17,distinctive,2.305
3,263,17,입수,4,distinctive,2.278
3,263,18,쌍끌이,4,distinctive,2.278
3,263,19,누적,8,distinctive,2.278
3,263,20,위판,4,distinctive,2.278
4,63,1,기관실,47,frequency,
4,63,2,출항,39,frequency,
4,63,3,장소,38,frequency,
4,63,4,일시,37,frequency,
4,63,5,상기,33,frequency,
4,63,6,조업,31,frequency,
4,63,7,해상,27,frequency,
4,63,8,포함,26,frequency,
4,63,9,작업,24,frequency,
4,63,10,상태,17,frequency,
4,63,11,기관장,17,frequency,
4,63,12,계류,17,frequency,
4,63,13,항해,16,frequency,
4,63,14,인근,16,frequency,
4,63,15,구조,13,frequency,
4,63,16,확산,12,frequency,
4,63,17,진압,12,frequency,
4,63,18,전원,11,frequency,
4,63,19,승선,10,frequency,
4,63,20,설치,10,frequency,
4,63,1,진화,10,distinctive,12.979
4,63,2,확산,12,distinctive,12.46
4,63,3,진압,12,distinctive,12.46
4,63,4,대응,3,distinctive,11.681
4,63,5,불가,4,distinctive,10.383
4,63,6,연기,5,distinctive,9.734
4,63,7,전기,8,distinctive,9.584
4,63,8,배전반,8,distinctive,9.584
4,63,9,내부,6,distinctive,8.495
4,63,10,자체,9,distinctive,8.245
4,63,11,폭발,7,distinctive,7.787
4,63,12,실패,7,distinctive,7.787
4,63,13,전원,11,distinctive,7.138
4,63,14,기관실,47,distinctive,6.971
4,63,15,원인,7,distinctive,6.814
4,63,16,차량,5,distinctive,5.562
4,63,17,대피,5,distinctive,5.562
4,63,18,처리,5,distinctive,5.562
4,63,19,목격,3,distinctive,5.191
4,63,20,휴대,3,distinctive,5.191
