id_a,id_b,similarity
기타_광석운반선_시노글로리호_침수사건,기타_어선_신아호_침수사건,0.6876
기타_광석운반선_시노글로리호_침수사건,해양오염_카페리선_씨월드_마린_해양오염사건,0.7058
기타_광석운반선_시노글로리호_침수사건,폭발_컨테이너선_케이엠티씨_홍콩호_폭발사건,0.6838
기타_낚시어선_호진호_선체손상사건,좌초_어선_해성호_좌초사건,0.7259
기타_낚시어선_호진호_선체손상사건,좌초_낚시어선_짱구피싱호_좌초사건,0.7141
기타_낚시어선_호진호_선체손상사건,좌초_낚시어선_초이스호_좌초사건,0.6984
기타_낚시어선_호진호_선체손상사건,충돌_낚시어선_화성호_낚시어선_뉴웨이브호_충돌사건,0.6983
기타_산적화물선_씨칭다오_기관실_침수사건,해양오염_유류운반부선_은성_해양오염사건,0.7543
기타_산적화물선_씨칭다오_기관실_침수사건,해양오염_유류운반부선_5덕승호_해양오염사건,0.7453
기타_산적화물선_씨칭다오_기관실_침수사건,인명사상_급유선_대양호_선원_등_부상사건,0.7433
기타_산적화물선_씨칭다오_기관실_침수사건,화재_예인선_에스에스_티3_화재사건,0.7251
기타_어선_동강2호_닻줄_손상사건,충돌_어선_도청호ㆍ어선_제206동양호_충돌사건,0.7223
기타_어선_동강2호_닻줄_손상사건,충돌_어선_삼양호.낚시어선_대진호_충돌사건,0.7181
기타_어선_동강2호_닻줄_손상사건,좌초_어선_제2019덕성호_좌초사건,0.7109
기타_어선_동강2호_닻줄_손상사건,좌초_모래운반선_505삼일호_좌초사건,0.7054
기타_어선_신아호_침수사건,전복_어선_2008만선호_전복사건,0.7573
기타_어선_신아호_침수사건,좌초_낚시어선_라이트호_좌초사건,0.7729
기타_어선_신아호_침수사건,전복_어선_제102해진호_전복사건,0.7414
기타_어선_신아호_침수사건,충돌_예인선_현대쥬베일호·어선_제311명천호_충돌사건,0.7408
기타_어선_제207성진호_침수사건,인명사상_어선_제307영용호_선원사망사건,0.8116
기타_어선_제207성진호_침수사건,인명사상_어선_제101통영호_선원사상사건,0.8058
기타_어선_제207성진호_침수사건,화재_제2017국제호_화재사건,0.8044
기타_어선_제207성진호_침수사건,충돌_어선_제69해동호&산적화물선_오션레전드_충돌사건,0.8031
기타_여객선_북도고속페리호_정박_부표줄_감김사건,좌초_여객선_북도고속페리호_좌초사건,0.7834
기타_여객선_북도고속페리호_정박_부표줄_감김사건,좌초_여객선_북도고속페리호_좌초사건_1,0.79
기타_여객선_북도고속페리호_정박_부표줄_감김사건,충돌_카페리여객선_비금아일랜드호·어선_영준2호_등_3척_충돌사건,0.7518
기타_여객선_북도고속페리호_정박_부표줄_감김사건,인명사상_어선_제505협신호_선원사망사건,0.7389
기타_여객선_씨스타11호_기타(객실_창문_손상)사건,침몰_예인선_제2종영호_침몰사건,0.6534
기타_여객선_씨스타11호_기타(객실_창문_손상)사건,화재_어선_만금호_화재사건,0.6447
기타_여객선_씨스타11호_기타(객실_창문_손상)사건,충돌_어선_광영호_좌초사건,0.6471
기타_여객선_씨스타11호_기타(객실_창문_손상)사건,화재_어선_배양호_화재사건,0.6601
기타_예인선_201해송의_피예인부선_마린1호_침수사건,시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건,0.6903
기타_예인선_201해송의_피예인부선_마린1호_침수사건,기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건,0.6829
기타_예인선_201해송의_피예인부선_마린1호_침수사건,폭발_컨테이너선_케이엠티씨_홍콩호_폭발사건,0.6954
기타_예인선_201해송의_피예인부선_마린1호_침수사건,충돌_액화석유가스운반선_제9에스제이가스_케미칼운반선_케이티에스블루_89fde571,0.6745
기타_예인선_강남티-15호_침수사건,접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건_1,0.7551
기타_예인선_강남티-15호_침수사건,접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건,0.7733
기타_예인선_강남티-15호_침수사건,충돌_예인선_부경103호의_피예인부선_광진1501호·어선_신성호_충돌사건,0.7616
기타_예인선_강남티-15호_침수사건,좌초_예인선_해건티1호의_피예인부선_해건9001호_좌초사건,0.7416
기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건,폭발_컨테이너선_케이엠티씨_홍콩호_폭발사건,0.7443
기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건,기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건,0.793
기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건,기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건,0.7305
기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건,폭발_어선_209금영호_폭발사건,0.6707
기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건,기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건,0.8183
기타_예인선_강남티-15호_침수사건,기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건,0.6705
기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건,충돌_예인선_에스에스_티3호의_피예인부선_에스에스_비1호_·어선_거성호_충돌ᄉ_48e1432b,0.6693
기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건,접촉_유조선_동아_테미스_부두접촉사건,0.6646
속구손상_예인선_36금양호_속구손상사건,인명사상_어선_제203대영호_선원부상사건,0.7707
속구손상_예인선_36금양호_속구손상사건,좌초_시멘트운반선_한라1호_좌초사건,0.7599
속구손상_예인선_36금양호_속구손상사건,좌초_예인선_해건티1호의_피예인부선_해건9001호_좌초사건,0.803
속구손상_예인선_36금양호_속구손상사건,충돌_예인선_현대쥬베일호·어선_제311명천호_충돌사건,0.7594
시설물손상_어선_베드로호_양식장_손상사건,좌초_어선_라온호_좌초사건,0.7445
시설물손상_어선_베드로호_양식장_손상사건,접촉_기타선_강남티-3호_양식장접촉사건,0.7308
시설물손상_어선_베드로호_양식장_손상사건,충돌_어선_제2019하람호-어선_수광호_충돌사건,0.7172
시설물손상_어선_베드로호_양식장_손상사건,좌초_어선_해성호_좌초사건,0.7156
시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건,접촉_여객선_샹쉐란_부두접촉사건,0.711
시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건,좌초_여객선_북도고속페리호_좌초사건_1,0.7033
시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건,전복_모터보트_혜성호_전복사건,0.7142
시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건,운항저해_여객선_북도고속페리호_운항저해사건,0.7593
시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4,전복_공사작업용부선_동방2005호_전복사건,0.7245
시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4,인명사상_예인선_제3001광진호_선원사망사건,0.7234
시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4,화재_어선_201태창호_화재사건,0.7161
시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4,접촉_예인선_303고려호의_피예인부선_5005영빈호_시아해등부표접촉사건,0.7145
시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건,폭발_컨테이너선_케이엠티씨_홍콩호_폭발사건,0.7025
시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건,충돌_액화석유가스운반선_제9에스제이가스_케미칼운반선_케이티에스블루_89fde571,0.6894
시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건,인명사상_유류_및_액체화학품산적운반선_아라하나_선원사망사건,0.6886
시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건,전복_어선_제1부경호_전복사건,0.6994
시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건,해양오염_액체화학품산적운반선_107효동케미_해양오염사건,0.7554
시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건,해양오염_예인선_동아티3호_해양오염사건,0.6967
시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건,해양오염_어선_제123대양호_해양오염사건,0.7076
운항저해_여객선_북도고속페리호_운항저해사건,좌초_여객선_북도고속페리호_좌초사건_1,0.7279
운항저해_여객선_북도고속페리호_운항저해사건,전복_모터보트_혜성호_전복사건,0.6892
운항저해_여객선_북도고속페리호_운항저해사건,접촉_여객선_샹쉐란_부두접촉사건,0.6802
운항저해_카페리여객선_비금아일랜드호_운항저해사건,추진축계손상_도선_여수경도골프앤리조트호_추진축계손상사건,0.7579
운항저해_카페리여객선_비금아일랜드호_운항저해사건,전복_어선_2006만진호_전복사건,0.7243
기관손상_카페리여객선_섬사랑6호_기관손상사건,운항저해_카페리여객선_비금아일랜드호_운항저해사건,0.717
인명사상_광석운반선_시_차오페이뎬_선원사망사건,접촉_산적화물선_윌리엄_올덴도르프_부두접촉사건,0.6784
인명사상_광석운반선_시_차오페이뎬_선원사망사건,화재_일반화물선_한진그린호_화재사건,0.6782
인명사상_광석운반선_시_차오페이뎬_선원사망사건,충돌_어선_삼양호.낚시어선_대진호_충돌사건,0.6642
인명사상_광석운반선_시_차오페이뎬_선원사망사건,접촉_기타선(실습선)_세계로_등부표_접촉사건,0.6568
인명사상_급유선_대양호_선원_등_부상사건,인명사상_어선_청강호_선원사망사건,0.7194
인명사상_급유선_대양호_선원_등_부상사건,해양오염_유류운반부선_은성_해양오염사건,0.697
인명사상_급유선_대양호_선원_등_부상사건,인명사상_어선_대건호_선원부상사건,0.6909
인명사상_기타선_빼리호_전복사건,인명사상_예인선_효종호_선원사망사건,0.6873
인명사상_기타선_빼리호_전복사건,인명사상_어업지도선_무궁화37호_선원사망사건,0.6821
기타_어선_제207성진호_침수사건,인명사상_기타선_빼리호_전복사건,0.6772
인명사상_기타선_빼리호_전복사건,인명사상_예인선_전남912호의_피예인부선_6001고려호_선원사망사건,0.6752
인명사상_기타선_해바라기호_관광객부상사건,접촉_낚시어선_준성호_해상펜션구조물_접촉사건,0.6847
인명사상_기타선_해바라기호_관광객부상사건,충돌_어선_제202경남호_어선_경민호_충돌사건,0.6657
인명사상_기타선_해바라기호_관광객부상사건,충돌_석유제품운반선_카리스_낚시어선_선경호_충돌사건,0.6585
인명사상_기타선_해바라기호_관광객부상사건,접촉_낚시어선_챌린지피싱호_돌핀접촉사건,0.6578
인명사상_낚시어선_다원호_승객부상사건,충돌_낚시어선_유빈호_모터보트_대양호_충돌사건,0.7898
인명사상_낚시어선_다원호_승객부상사건,충돌_낚시어선_스텔라호_어선_동성호_충돌사건,0.7537
인명사상_낚시어선_다원호_승객부상사건,충돌_낚시어선_라온호_낚시어선_대양1호_충돌사건,0.7413
인명사상_낚시어선_다원호_승객부상사건,충돌_카페리여객선_욕지영동골드고속호.낚시어선_제2비너스호_충돌사건,0.7276
인명사상_낚시어선_삼흥호_승객사망사건,좌초_낚시어선_동우호_좌초사건,0.6696
인명사상_낚시어선_삼흥호_승객사망사건,충돌_석유제품운반선_카리스_낚시어선_선경호_충돌사건,0.6856
인명사상_낚시어선_삼흥호_승객사망사건,"충돌_어선_태종호,_어선_단경호_충돌사건",0.6586
인명사상_낚시어선_삼흥호_승객사망사건,"충돌_낚시어선_블랙이글호,_모터보트_성진호_충돌사건",0.6581
인명사상_낚시어선_신진호_승객부상사건,인명사상_어선_제2천양호_선원부상사건,0.7399
인명사상_낚시어선_신진호_승객부상사건,인명사상_예인선_77신정호_선원부상사건,0.7291
인명사상_낚시어선_신진호_승객부상사건,인명사상_어선_제609천금호_선원부상사건,0.7004
인명사상_낚시어선_신진호_승객부상사건,인명사상_어선_206분도호_선원사망사건,0.6988
인명사상_낚시어선_트윈스호_수중레저활동자_부상사건,충돌_낚시어선_팀루비나호-고무보트_선명무_충돌사건,0.7789
인명사상_낚시어선_트윈스호_수중레저활동자_부상사건,좌초_낚시어선_나이키호_좌초사건,0.8007
인명사상_낚시어선_트윈스호_수중레저활동자_부상사건,좌초_어선_창원호_좌초사건,0.7466
인명사상_낚시어선_트윈스호_수중레저활동자_부상사건,충돌_어선_제69해동호&산적화물선_오션레전드_충돌사건,0.7424
인명사상_모터보트_라운지_잠수부_사망사건,좌초_모터보트_라운지_부유물_감김으로_인한_좌초사건,0.7699
인명사상_모터보트_라운지_잠수부_사망사건,인명사상_모터보트_로얄마린_수중레저활동자_사망사건,0.72
인명사상_모터보트_라운지_잠수부_사망사건,충돌_세일링요트_니모호_전복사건,0.7025
인명사상_모터보트_라운지_잠수부_사망사건,인명사상_어선_제307영용호_선원사망사건,0.7007
인명사상_모터보트_로얄마린_수중레저활동자_사망사건,충돌_세일링요트_니모호_전복사건,0.7323
인명사상_모터보트_로얄마린_수중레저활동자_사망사건,좌초_어선_서온호_좌초사건,0.7118
인명사상_모터보트_로얄마린_수중레저활동자_사망사건,"충돌_어선_제7청진호,_어선_포레나호_충돌사건",0.7077
인명사상_부선_한강6호_선원사망사건,"충돌_낚시어선_스피드호,_어선_풍정호_충돌사건",0.6563
인명사상_부선_한강6호_선원사망사건,전복_예인선_재원1호의_피예인부선_미래9003호_전복사건,0.6516
인명사상_부선_한강6호_선원사망사건,인명사상_어선_제33동익호_선원사망사건,0.6758
인명사상_부선_한강6호_선원사망사건,인명사상_예인선_현대쥬베일호_선원사망사건,0.6489
인명사상_산적화물선_디엘아이비_작업원_사망사건,충돌_예인선_광진107호-어선_제212창성호_충돌사건,0.7373
인명사상_산적화물선_디엘아이비_작업원_사망사건,인명사상_어선_제21남경호_부유물감김사건으로_인한_선원사망사건,0.7314
인명사상_산적화물선_디엘아이비_작업원_사망사건,화재_일반화물선_한진그린호_화재사건,0.7214
인명사상_산적화물선_디엘아이비_작업원_사망사건,접촉_산적화물선_윌리엄_올덴도르프_부두접촉사건,0.713
인명사상_산적화물선_프린세스호_작업원부상사건,인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건,0.7199
인명사상_산적화물선_프린세스호_작업원부상사건,인명사상_어선_제2017세종호_선원사망사건,0.7126
인명사상_산적화물선_프린세스호_작업원부상사건,인명사상_어선_제2창성호_선원실종사건,0.7003
인명사상_산적화물선_프린세스호_작업원부상사건,인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건,0.6696
인명사상_석유제품운반선_한유비전_선원부상사건,해양오염_일반화물선_포스_해양오염사건,0.7451
인명사상_석유제품운반선_한유비전_선원부상사건,접촉_석유제품운반선_삼진1호_방파제접촉사건,0.7441
인명사상_석유제품운반선_한유비전_선원부상사건,전복_예인선_101유한_전복사건,0.7423
인명사상_석유제품운반선_한유비전_선원부상사건,인명사상_어선_제33동익호_선원사망사건,0.7378
인명사상_시험조사선_이사부호_선원사망사건,충돌_어선_제76대창호.어선_제2대부호_충돌사건,0.6266
인명사상_시험조사선_이사부호_선원사망사건,인명사상_어선_신영51호_선원사망사건,0.6365
인명사상_시험조사선_이사부호_선원사망사건,인명사상_어선_제27연정호_선원사망사건,0.624
인명사상_시험조사선_이사부호_선원사망사건,화재_어선_제212창성호_화재사건,0.6192
인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건,인명사상_어선_제2017세종호_선원사망사건,0.7043
인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건,인명사상_어선_제505한진호_선원부상사건,0.6759
인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건,인명사상_어선_206분도호_선원사망사건,0.693
인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건,인명사상_어선_제107명진호_선원사망사건,0.694
인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건,인명사상_어선_제2017세종호_선원사망사건,0.7329
인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건,좌초_예인선_해건티1호의_피예인부선_해건9001호_좌초사건,0.7323
기타_예인선_강남티-15호_침수사건,인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건,0.7268
인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건,인명사상_예인선_77신정호_선원부상사건,0.7203
인명사상_어선_103대승호_선원부상사건,인명사상_어선_제793금정호_선원실종사건,0.7567
인명사상_어선_103대승호_선원부상사건,"충돌_어선_제903청룡호,_어선_제2010대승호_충돌사건",0.7625
인명사상_어선_103대승호_선원부상사건,"충돌_낚시어선_시온호,_어선_97흥성호_충돌사건",0.743
인명사상_어선_103대승호_선원부상사건,좌초_어선_제26남성호_좌초사건,0.7365
인명사상_어선_12재성호_선원부상사건,인명사상_어선_명성호_선원사상사건,0.7032
인명사상_어선_12재성호_선원부상사건,인명사상_어선_제21구진호_선원부상사건,0.6892
인명사상_어선_12재성호_선원부상사건,인명사상_어선_제77태광호_선원부상사건,0.6845
인명사상_어선_12재성호_선원부상사건,인명사상_어선_정복호_선원부상사건,0.6838
인명사상_어선_1만복호_선원사망사건,인명사상_어선_제505협신호_선원사망사건_1,0.8776
인명사상_어선_1만복호_선원사망사건,인명사상_어선_제207해선호_선원사망사건,0.8353
인명사상_어선_1만복호_선원사망사건,인명사상_어선_동운호_선원사망사건,0.7812
인명사상_어선_1만복호_선원사망사건,인명사상_어선_제7만복호_선원사망사건,0.7727
인명사상_어선_2020안성호_선원사망사건,인명사상_어선_제21남경호_부유물감김사건으로_인한_선원사망사건,0.8095
인명사상_어선_2020안성호_선원사망사건,인명사상_어선_313태양호_선원사망사건,0.7606
인명사상_어선_2020안성호_선원사망사건,좌초_어선_제2019덕성호_좌초사건,0.7312
인명사상_어선_2020안성호_선원사망사건,충돌_어선_제2017대청호&어선_경덕호_충돌사건,0.7262
인명사상_어선_202미성호_선원사망사건,인명사상_어선_206분도호_선원사망사건,0.8361
인명사상_어선_202미성호_선원사망사건,인명사상_어선_제609천금호_선원부상사건,0.7609
인명사상_어선_202미성호_선원사망사건,인명사상_어선_은성호_선원사망사건,0.8365
인명사상_어선_202미성호_선원사망사건,인명사상_어선_제107명진호_선원사망사건,0.7539
인명사상_어선_203남광호_선원사망사건,인명사상_어선_제205금성호_선원사망사건,0.7587
인명사상_어선_203남광호_선원사망사건,인명사상_어선_301광명호_선원사망사건,0.7902
인명사상_어선_203남광호_선원사망사건,인명사상_어선_27협신호_선원사망사건,0.8162
인명사상_어선_203남광호_선원사망사건,충돌_어선_대원호.어선_희주호_충돌사건,0.7569
인명사상_어선_206분도호_선원사망사건,인명사상_어선_제609천금호_선원부상사건,0.7832
인명사상_어선_206분도호_선원사망사건,인명사상_어선_은성호_선원사망사건,0.7937
인명사상_어선_206분도호_선원사망사건,충돌_어선_제2정훈호_선원부상사건,0.7723
인명사상_어선_209대청호_선원사망사건,인명사상_예인선_전남912호의_피예인부선_6001고려호_선원사망사건,0.7613
인명사상_어선_209대청호_선원사망사건,인명사상_어선_제23보경호_선원사망사건,0.7642
인명사상_어선_209대청호_선원사망사건,인명사상_어선_9009경진호_선원사망사건,0.7638
인명사상_어선_209대청호_선원사망사건,인명사상_어선_제608승진호_선원사망사건,0.7739
인명사상_어선_219신흥호_선원부상사건,인명사상_어선_바다2호_선원사망사건,0.7845
인명사상_어선_219신흥호_선원부상사건,인명사상_어선_장미2호_선원사망사건,0.7597
인명사상_어선_219신흥호_선원부상사건,인명사상_어선_제2성화호_선원부상사건,0.7578
인명사상_어선_219신흥호_선원부상사건,인명사상_어선_제307영용호_선원사망사건,0.7548
인명사상_어선_221대성호_선원사망사건,인명사상_어선_제101순흥호_선원부상사건,0.7484
인명사상_어선_221대성호_선원사망사건,인명사상_어선_건양호_선원사망사건,0.7417
인명사상_어선_221대성호_선원사망사건,인명사상_어선_동운호_선원사망사건,0.7324
인명사상_어선_221대성호_선원사망사건,인명사상_어선_주용호_선원사망사건,0.7267
인명사상_어선_27협신호_선원사망사건,인명사상_어선_301광명호_선원사망사건,0.7556
인명사상_어선_27협신호_선원사망사건,인명사상_어선_제307영용호_선원사망사건,0.7627
인명사상_어선_27협신호_선원사망사건,인명사상_어선_동운호_선원사망사건,0.7545
인명사상_어선_2유덕호_선원부상사건,인명사상_어선_정원호_선원부상사건,0.767
인명사상_어선_2유덕호_선원부상사건,인명사상_어선_제802덕해호_선원부상사건,0.7537
인명사상_어선_2유덕호_선원부상사건,좌초_어선_라온호_좌초사건,0.7709
인명사상_어선_2유덕호_선원부상사건,인명사상_어선_만복호_선원부상사건,0.7476
인명사상_어선_2통일호_선원사망사건,인명사상_어선_원성호_선원부상사건(약식),0.7517
인명사상_어선_2통일호_선원사망사건,충돌_어선_대영호_선원사망사건,0.7558
인명사상_어선_2통일호_선원사망사건,인명사상_어선_장미2호_선원사망사건,0.7854
인명사상_어선_2통일호_선원사망사건,인명사상_어선_민성1호_선원사망사건,0.7631
인명사상_어선_301광명호_선원사망사건,인명사상_어선_동운호_선원사망사건,0.7726
인명사상_어선_301광명호_선원사망사건,인명사상_어선_장미2호_선원사망사건,0.7686
인명사상_어선_301광명호_선원사망사건,인명사상_원양어선_세인_파이오니아호_선원사망사건,0.7611
인명사상_어선_313태양호_선원사망사건,인명사상_어선_제17덕진호_선원사망사건,0.7035
인명사상_어선_313태양호_선원사망사건,인명사상_어선_제21남경호_부유물감김사건으로_인한_선원사망사건,0.7369
인명사상_어선_313태양호_선원사망사건,좌초_어선_제2019덕성호_좌초사건,0.7001
인명사상_어선_603조일호_선원사망사건,인명사상_어선_제306민금호_선원사망사건,0.7644
인명사상_어선_603조일호_선원사망사건,충돌_어선_신성호_선원사망사건,0.7509
인명사상_어선_209대청호_선원사망사건,인명사상_어선_603조일호_선원사망사건,0.753
인명사상_어선_603조일호_선원사망사건,인명사상_어선_제2창성호_선원실종사건,0.7428
인명사상_어선_78임수호_선원사망사건,인명사상_어선_제309부영호_선원사망사건,0.6996
인명사상_어선_78임수호_선원사망사건,인명사상_어선_제237양창호_선원사망사건,0.7352
인명사상_어선_78임수호_선원사망사건,인명사상_예인선_현대쥬베일호_선원사망사건,0.6895
인명사상_어선_78임수호_선원사망사건,충돌_어선_제2019하람호-어선_수광호_충돌사건,0.6847
인명사상_어선_9009경진호_선원사망사건,인명사상_어선_제505협신호_선원사망사건_1,0.7743
인명사상_어선_9009경진호_선원사망사건,인명사상_어선_제306민금호_선원부상사건,0.7603
인명사상_어선_9009경진호_선원사망사건,인명사상_어선_선경2호_선원사망사건,0.7545
인명사상_어선_9민성호_선원부상사건,인명사상_어선_동진호_선원부상사건,0.7677
인명사상_어선_9민성호_선원부상사건,인명사상_어선_유정호_선원부상사건,0.7826
인명사상_어선_9민성호_선원부상사건,인명사상_어선_대건호_선원부상사건,0.7975
인명사상_어선_9민성호_선원부상사건,인명사상_어선_선경호_선원부상사건,0.7779
인명사상_어선_가람호_선원부상사건,충돌_어선_제2정훈호_선원부상사건,0.7617
인명사상_어선_가람호_선원부상사건,인명사상_어선_제38미래호_선원부상사건,0.774
인명사상_어선_가람호_선원부상사건,인명사상_어선_제1만선호_부상사건,0.7541
인명사상_어선_가람호_선원부상사건,인명사상_어선_대신5호_선원부상사건,0.8019
인명사상_어선_202미성호_선원사망사건,인명사상_어선_건양호_선원사망사건,0.7499
인명사상_어선_건양호_선원사망사건,인명사상_어선_제107명진호_선원사망사건,0.783
인명사상_어선_건양호_선원사망사건,인명사상_어선_성복호_선원사망사건,0.7427
인명사상_어선_206분도호_선원사망사건,인명사상_어선_광일호_선원부상사건,0.7371
인명사상_어선_광일호_선원부상사건,전복_어선_제102해진호_전복사건,0.741
인명사상_어선_광일호_선원부상사건,충돌_어선_제2정훈호_선원부상사건,0.732
인명사상_어선_광일호_선원부상사건,인명사상_어선_명성호_선원부상사건,0.7238
인명사상_어선_광정15호_선원사망사건,인명사상_원양어선_세인_파이오니아호_선원사망사건,0.7385
인명사상_어선_광정15호_선원사망사건,좌초_어선_303우진호_좌초사건,0.7551
인명사상_어선_광정15호_선원사망사건,인명사상_어선_장미2호_선원사망사건,0.7452
인명사상_어선_광정15호_선원사망사건,인명사상_어선_원성호_선원부상사건(약식),0.7472
인명사상_어선_금강7호_선원사망사건,인명사상_어선_청강호_선원사망사건,0.7498
인명사상_어선_금강7호_선원사망사건,인명사상_어선_성림5호_선원사망사건,0.7413
인명사상_어선_금강7호_선원사망사건,인명사상_어선_대건호_선원부상사건,0.7739
인명사상_어선_금강7호_선원사망사건,인명사상_어선_제203대영호_선원부상사건,0.7243
인명사상_어선_대건호_선원부상사건,인명사상_어선_성림5호_선원사망사건,0.8057
인명사상_어선_대건호_선원부상사건,인명사상_어선_제25민성호_선원부상사건,0.8337
인명사상_어선_대건호_선원부상사건,인명사상_어선_명성호_선원부상사건,0.7961
인명사상_어선_대신5호_선원부상사건,인명사상_어선_제609천금호_선원부상사건,0.7629
인명사상_어선_대신5호_선원부상사건,충돌_어선_제2정훈호_선원부상사건,0.7927
인명사상_어선_대신5호_선원부상사건,인명사상_원양어선_세인_파이오니아호_선원사망사건,0.7564
인명사상_어선_대신호_선원실종사건,인명사상_어선_제201창남호_선원부상사건,0.7539
